	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	306	696.729	0	-0.0113523	3.01902	0.202068	(-376.861,-183.758,519.729)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
0.0342105	-0.656377	0	0	0	1	10	BN
0.0342105	-0.656377	9.64886	-0.630644	0.270798	0.727294	9.97057	BN
-1.63536	0.060534	11.5743	-0.630644	0.270798	0.727294	9.96247	BN
-18.7419	7.40607	31.3025	-0.613557	0.228063	0.784291	9.87948	BN
-19.2554	7.59695	31.959	-0.617657	0.229246	0.774616	9.8769	BN
-20.8561	8.19104	33.9664	-0.642431	0.210178	0.731688	9.86892	BN
-22.7887	8.8233	36.1674	-0.620241	0.302725	0.699827	9.85965	BN
-39.0746	16.7721	54.543	-0.612555	0.332806	0.687331	9.77864	BN
-48.875	22.0967	65.5398	-0.646521	0.298667	0.660802	9.72895	BN
-70.5733	32.1204	87.7174	-0.662387	0.205048	0.698922	9.62428	BN
-78.2672	34.5022	95.8357	-0.668247	0.123544	0.738871	9.58774	BN
-82.0335	35.1985	100	-0.668247	0.123544	0.738871	9.56989	Si
